PuzzleId,FEN,Moves,Rating
HMYsh,7n/pbp4k/3p1Q1P/3Pn1B1/2p5/P1N5/KP4q1/R3q3 b - - 3 34,e1f2 f6g7,1406
HMlsH,6k1/2n1Qppp/4p3/4N3/3P4/4P2P/5PPK/qq6 b - - 1 29,b1f5 e7d8 c7e8 d8e8,1079
HNQV0,5r2/2Q2ppk/3Npr2/8/P6p/7P/3p2PQ/3Rq2K w - - 2 47,d1e1 d2e1q h2g1 f6f1 g1f1 e1f1,1186
HNkj1,3r3k/1b5P/p3QNp1/4P3/8/4K3/PPqp1PP1/8 b - - 0 33,d2d1q e6g8 d8g8 h7g8q,1089
HNqoT,rn1qbQ2/1pp3pk/p2pp2b/4P3/3P4/2N5/PPP2P1Q/R3K3 w Q - 3 20,f2f4 b8d7 f8e8 d8e8,1710
HNr60,6Q1/5Qb1/6pk/5p1p/8/8/3p2PP/R3q2K w - - 4 49,a1e1 d2e1q,730
HO2wi,8/7p/5Qpk/4p3/7P/4PPPK/p1q5/8 b - - 2 40,a2a1q f6f8 h6h5 g3g4,1547
HO5Dr,6k1/5Qbp/3p4/2pPp3/2P5/6P1/1q4BP/2q2RK1 b - - 0 37,g8h8 f7e8 g7f8 e8f8,1138
HOE9P,7R/pkp1P1p1/2b5/1p4N1/6q1/P3Q3/1PPK4/5r2 w - - 7 43,e7e8q f1d1 d2c3 g4c4,1786
HOPn3,8/5p1k/3q3p/8/2p2RPP/1bQ4K/3p4/8 b - - 1 38,d2d1q f4f7 h7g6 c3g7,1062
HOVf7,2rqQ3/3P2kp/p5p1/1p6/8/1P6/P4PPP/3R2K1 w - - 3 29,d7c8q d8d1 e8e1 d1e1,715
HOhGG,5rk1/3RQpp1/4N2p/8/8/7P/1p3PPK/2q5 b - - 0 40,b2b1q e7f8 g8h7 f8g7,1224
HPD8a,Qn3r1k/p5bp/6p1/8/7q/P7/BP3nP1/RNBQ1R1K w - - 2 19,h1g1 h4h1,924
HPac3,rr6/P7/4Q2p/3p1ppk/3Pb3/2R5/4q1PP/6RK w - - 1 42,a7b8q e2g2 g1g2 a8a1 b8b1 a1b1 c3c1 b1c1,1974
HPmWF,2Qb1rk1/3P1pp1/8/3q2P1/5p2/p7/2Q4P/1K2R3 w - - 2 37,c8d8 d5b5 b1a2 f8d8,2182
HQyZ9,4Q3/B1P3p1/4pp1p/6k1/1p3n2/3q3P/5PP1/5R1K w - - 5 35,c7c8q d3f1 h1h2 f1g2,928
HRDb5,3r4/p2kqp2/1pR1p3/1P2P1PQ/n2r1P1P/8/3p4/5RK1 b - - 1 36,d2d1q f1d1 d4d1 h5d1 d7e8 d1a4,1550
HRedB,3Q3r/p7/2q1p1k1/5pp1/6b1/2KQP3/PP6/2RR4 w - - 1 36,c3d2 h8h2 d3e2 h2e2 d2d3 c6e4,1695
HRflf,2r3k1/PK4p1/1P6/2Pp4/1Q1Bp1q1/4P1P1/7P/8 w - - 12 53,a7a8q g4d7 b7a6 c8a8,1277
HS0oN,3r4/5K1k/4p3/P1p5/4R2N/4QPP1/2q4P/q7 b - - 0 50,a1a5 e3h6 h7h6 h4f5 e6f5 e4h4 h6g5 f3f4,2311
HSGln,2Qrkb2/pQ3p2/1p1p4/1P2p3/2P1PK2/3q2P1/8/7R w - - 0 37,f4f5 d3f3 f5g5 f8e7 b7e7 e8e7 c8d8 e7d8,1838
HSesp,6Q1/kbN5/1p6/p7/3P4/2P3Q1/5P1K/1q6 w - - 1 43,c7e6 b1h1,824
HSnT0,r7/3P1kbp/1q2r1p1/pp1R1p2/2p1pB2/P2nP2P/1P2QPP1/3R1NK1 w - - 1 30,d7d8q a8d8 d5d8 b6d8,1139
HT3Q4,3Q4/4Qppk/1p2p2p/1B1b4/3P4/7P/5rPK/2r5 w - - 0 30,e7g5 h6g5 d8g5 f2g2 g5g2 d5g2,1776
HT97B,5r2/1r2Pp1k/5Q1p/4P1pP/8/1p2P3/1p3RPK/q7 b - - 0 38,b2b1q f6f7 f8f7 f2f7 h7h8 e7e8q,2232
HTaCI,5rk1/R1Q4R/p4q2/5pq1/4p3/7P/4rPPK/8 b - - 4 41,e2f2 h7h8 f6h8 c7c4 f8f7 c4f7,1927
HTaCO,8/1P2Qp1q/3p4/3k4/3p3r/P7/5PP1/6K1 w - - 0 50,b7b8q h4h1,871
HTwZ3,4R3/1p1P3p/p5rk/1P1Q2q1/P2p4/8/2P2PPP/6K1 w - - 5 33,d7d8q g5c1 e8e1 c1e1,1035
HUZPm,2R2k2/5pp1/5b1p/1q1q4/8/5N1P/3Q1PP1/6K1 b - - 1 28,f6d8 c8d8 d5d8 d2d8,895
HUc0n,Q4Q2/1p6/pkpr4/8/8/5p2/1P3PP1/3q1BK1 w - - 3 35,g2g3 d1f1 g1f1 d6d1,785
HUpGM,r4k2/1R3bpQ/p4p2/2qp4/P7/6P1/2p2P1P/4R1K1 b - - 1 30,c2c1q h7h8 f7g8 h8g7,1221
HVQwy,1Q6/2Q2ppk/4p2p/3p4/3P4/5PKP/8/4q3 w - - 3 40,g3f4 g7g5 f4g4 e1h4,1660
HVUAt,1rr5/4kpQ1/1q2pn2/8/1b1P1P2/1p2Q3/2P1N3/1K4RR w - - 0 34,c2b3 b4c3 e2c1 b6a6 e3c3 c8c3,2866
HVWYt,1Q6/P4k2/8/5p2/6n1/6PK/r6P/8 w - - 5 53,a7a8q a2h2,1018
HVojY,3r4/PQ6/1p6/1k6/8/4PpPp/5P1P/3r1RK1 w - - 1 48,a7a8q d1f1 g1f1 d8d1,986
HWNe0,Q1Q5/5qpk/2p4p/2Bp3r/1P2p3/6P1/5P1K/2R2R2 w - - 1 46,h2g2 f7f3 g2g1 h5h1,991
HWiox,4r1k1/p4ppp/1p6/8/2Pq2P1/1P3QK1/P2pr1PP/5R2 b - - 1 30,d2d1q f3f7 g8h8 f7f8 e8f8 f1f8,1305
HWvYh,8/pR1Q2bk/3p3P/1P1q1p2/P4Pq1/8/5R1P/5B1K w - - 4 42,f1g2 g4d1 f2f1 d1f1,1694
HX2eF,5r1k/7P/1p2P3/3p4/P2P2Q1/3q4/1p3PK1/7R b - - 0 39,b2b1q h1b1 d3b1 e6e7 f8b8 g4g8,2152
HXP1h,8/kp1P3Q/p3p3/P1rb4/q2N4/3P4/6PP/5RK1 w - - 0 32,d7d8q a4d4 g1h1 d5g2,1312
HXTT2,r1b1Q3/1p6/1q1kp1Q1/3pp3/p1p3P1/P1b5/1PP1r3/1K1R1B1R w - - 5 30,d1d5 d6d5 e8d8 b6d8,1170
HY1fk,5Q2/kpp1P3/pb6/7p/P2q4/7r/6PB/5R1K w - - 3 38,e7e8q h3h2 h1h2 d4h4,1176
HYKF4,1r1q1Bk1/3bpp1p/3p1npQ/2nP4/4P3/5N1P/Bp3PP1/R3R1K1 b - - 0 20,b2a1q h6g7,1182
HYcQE,1rb4Q/p5Q1/1k2p3/3pP3/3P4/1q4P1/1Pr5/1K1R3R w - - 0 33,h8d8 b6a6 g7a7 a6a7 d8a5 c8a6 h1h7 b8b7 h7b7 a7b7,2133
HYqiw,B4rk1/p2PRp1p/6p1/2p1Q3/3n4/3P4/2q2PPP/1q2R1K1 b - - 0 23,b1b8 e5b8 f8b8 e7e8 g8g7 e8b8,2327
HZ48D,7Q/3qpp2/p2p1kp1/3n4/7R/3P3P/2r2PPK/1q3r2 b - - 3 35,f6e6 h4e4 e6f5 g2g4 f5g5 h3h4,1433
HZIQY,2r2r1k/5pR1/5P1p/2p1R2P/1pb5/6Q1/3p2PK/2q5 b - - 2 40,d2d1q g7h7 h8h7 g3g7,1223
HZNTQ,2Q5/3P1ppk/2p5/8/4p1n1/P3PqPp/5P1P/5RK1 w - - 0 32,d7d8q f3g2,1090
HZgUC,3Q4/q1P3k1/3Q4/7p/5p2/6pP/P5P1/6K1 w - - 1 55,g1f1 a7f2,878
HaD1I,2Q2rk1/R2Q1ppp/4p3/8/8/7P/5PPK/2qq4 b - - 0 40,f8c8 d7f7 g8h8 f7g7,1405
HbQlr,3Q4/5pkp/6p1/1q5P/6PK/8/8/q7 b - - 2 53,a1a5 h5h6 g7h6 d8f8,1488
Hbasg,7R/2P5/3q1ppk/1p2p3/8/4P2P/5PPK/q7 b - - 3 39,h6g5 h3h4 g5f5 c7c8q,1580
Hbdgd,1Q6/5R2/4P1p1/2q3k1/K4p2/8/7p/8 b - - 0 55,h2h1q b8f4 g5h5 f7h7,1530
Hbejb,Q7/6pk/1Q5p/8/2p2K2/3n3P/1P4P1/4q3 w - - 3 49,f4f3 e1f1 f3e4 f1g2 e4d4 g2a8,2305
HcC7j,Q7/1Q5p/6pk/4p3/5p2/5K1P/6P1/3q4 w - - 2 45,f3e4 d1d4 e4f3 d4e3 f3g4 e3g3,1285
Hd4vD,r3kb2/ppN2qp1/3p2Q1/2p5/3NP1n1/1P1P4/q1P1K3/8 b q - 3 27,e8d8 g6f7 f8e7 c7d5 a2c2 d4c2,2642
HdKau,rR6/2P2kpp/8/5p2/2qP4/5BPP/3Q1PK1/q7 w - - 2 32,c7c8q c4f1 g2h2 f1g1,1712
HdNUZ,3br3/3P1qkp/2Q4p/2p5/8/2P3NP/Pr3P2/R5K1 w - - 0 29,d7e8q f7f2 g1h1 f2h2,1211
Hdq08,8/p6p/7k/2P5/3p2QP/1P4P1/1P1p3K/5q2 b - - 2 44,d2d1q g4g5,889
Hel7u,5q1k/1PQ3pp/8/8/8/8/P3prPP/4R1K1 w - - 0 37,b7b8q f2f1 e1f1 e2f1q,1006
Hev4a,8/1p3PQ1/p3r3/1k4P1/1P6/1K6/P4r2/8 w - - 1 47,f7f8q e6e3 g7c3 e3c3 b3c3 f2f8,1225
HfNL3,Q1r1k3/5p1p/6p1/K2Qp3/4P3/1n6/6PP/8 w - - 1 41,d5b3 c8a8 a5b5 a8b8 b5c4 b8b3,906
HfTsb,r1bqkb1r/pppp2pp/2n2p1B/8/2B1P2N/1Q6/Pp3PPP/RN2K2R b KQkq - 1 8,b2a1q c4f7 e8e7 h4f5,1159
Hg9pB,7Q/1bpp1r2/1p1kp3/p5Q1/8/2P5/PP3P2/K2qn1R1 w - - 7 36,g5c1 d1c1,463
HhBNn,r7/2kpQP2/p1b1p3/8/3p4/8/Pq4PP/2R2R1K w - - 0 33,f7f8q b2g2,863
HhhBw,3r3r/Q1R1pp2/2P1k3/4q1p1/P5Pp/5P1P/4pBK1/8 b - - 0 37,e2e1q c7e7 e6f6 f2e1 e5e7 e1c3,2485
Hhhhx,r3qrk1/3N2p1/2R2pP1/2pQ3p/1b5P/4P3/2P1KP2/q7 b - - 0 29,g8h8 d5h5 h8g8 h5h7,1740
HhpEW,r5k1/1pp2pp1/p2n4/4Q3/8/P5R1/1PP1KPqp/8 b - - 1 29,h2h1q e5g7,1087
Hhv8o,5b2/2QQ1pkp/6p1/2Ppp3/8/7P/2q1K1P1/8 w - - 8 39,e2e3 f8c5 c7c5 c2c5,1797
HjBQK,3QQ3/7k/2P3pp/8/5p2/4bPqP/6PK/8 w - - 2 54,h2h1 g3e1 h1h2 e1g1,1223
HjLaF,3qr2k/p5pp/2b2p2/1P6/K7/P2B4/2P4Q/1q6 b - - 4 41,b1b2 h2h7,714
HjOfz,3r4/PQp3k1/4npp1/R1p5/4p2p/1P3PqP/8/R4B1K w - - 2 48,a7a8q d8d2 a8g8 g7g8,2043
Hjmal,5r1k/5Npp/2p2b2/8/2B1P1QP/7K/2P3P1/qq6 b - - 0 30,f8f7 g4c8 f6d8 c8d8 f7f8 d8f8,867
HjqQZ,3N2k1/6p1/p3p1Qp/1p2P3/6P1/7P/1p3RK1/2q5 b - - 3 41,b2b1q f2f8 g8f8 g6f7,1579
Hjr3I,8/5p1k/p1Q1p1p1/1p6/1N6/P4PQK/3q4/5b2 w - - 6 43,h3g4 f7f5 g4h4 d2h6,1411
Hjwoq,3R2Q1/8/8/1p2q3/4p3/8/3pkPK1/8 b - - 2 53,d2d1q g8g4 e2e1 d8d1,1189
HjwwQ,8/5p2/2p1p3/2Pk4/3P4/1R1KP3/2pB1P2/3q4 b - - 4 49,c2c1q e3e4,1001
Hk3E2,r4nkr/pp3pp1/1q2P1n1/1b2P1Np/7P/6Q1/1B1p2P1/2R2R1K b - - 0 23,d2c1q e6f7,1411
Hk4oQ,2r1r1k1/p5p1/6P1/b2p1P1Q/3PnB1P/4R3/1qp5/5RK1 b - - 1 45,c2c1q h5h7 g8f8 f4d6 e8e7 h7h8,2182
HkUj0,2r2r2/1Q4pk/p2p3p/q3p1pR/P3P1P1/5B2/1Pp2PK1/7R b - - 1 24,c2c1q h5h6 h7g8 h6h8,1084
Hkalo,4Q2r/1q2Q1k1/5Np1/5bP1/p2P4/Pp6/1P6/K3R2q b - - 1 44,b7e7 e8e7,1023
Hl4f5,rn6/3P1kpp/8/2Qp4/2pPp1P1/1p2P2B/qP5P/2K4R w - - 0 29,d7d8q a2a1 c1d2 a1b2 d2e1 a8a1,1404
HlSaa,6k1/1p4p1/p2q2Pp/5Q1P/4p3/7K/2p5/8 b - - 0 39,c2c1q f5f7 g8h8 f7e8 d6f8 e8f8,1302
HlXoz,N1Q2n2/b3kp2/b3p3/p1Pp2p1/5N2/3R1Pp1/P1Q1KqP1/4R2r w - - 3 33,e2d1 f2e1,858
Hlz7e,QQ6/5ppk/4p2p/8/8/5PPK/7P/5q2 w - - 1 49,h3h4 g7g5 h4g4 f7f5 g4h5 f1h3,1448
HmbUl,3Q4/P4ppk/7p/8/5n2/5qP1/5P1P/R4RK1 w - - 1 25,a7a8q f4e2,1439
Hmfn1,3QK3/8/4b3/7q/1k6/8/2Q5/8 w - - 7 64,e8f8 h5f7,1372
HnCec,2QQ4/6pk/5prp/1N1p4/5P2/4r1q1/P5P1/2R3RK w - - 0 37,c8h3 g3h3 g2h3 e3h3,976
HoKOy,2QQ4/pp4bk/6pp/8/2q1p3/2P3B1/PP4PP/R4r1K w - - 1 32,a1f1 c4f1,400
Hon3D,2r2r1k/2P2pRp/5p1P/4pQ2/1b6/2N2P2/1qPK2P1/qN1R4 b - - 1 31,b4c3 d2e2 b2c2 f5c2,2091
HptMZ,3N4/5Qkp/3q2p1/8/8/4P1PP/5P1K/q7 b - - 4 34,g7h6 f7g8 d6f6 d8f7 f6f7 g8f7,2344
HqTIy,5k2/4bPp1/2Q1P2p/4P3/6P1/7K/2pq3P/8 b - - 8 52,c2c1q c6e8,1084
HrATs,3q1rk1/6p1/3p2P1/2p1b2Q/2P1P3/1r3B2/p7/6RK b - - 0 38,a2a1q h5h7,1041
HrW4D,2r2k2/pp3p1R/1qn1p1p1/4P1Q1/2p2P2/1P2P2P/P5PK/3q4 b - - 0 30,b6c7 h7h8 f8g7 g5f6,1141
HrseV,2Q5/5rpk/P2Qp2p/8/3P4/4Pq2/4K3/3R4 w - - 0 39,e2d3 f3d1 d3c3 d1c1,1299
HsXQT,8/5Qp1/1P3b1p/5k2/2P1B2P/3P2P1/5PK1/q1q5 b - - 2 41,f5e5 f7d5,1043
Hsqwc,5qk1/8/2p4r/3p3p/6pP/2Q3Pn/1B3p1K/R7 b - - 1 41,f2f1q a1f1 f8e7 f1e1 e7f6 c3f6 h6f6 b2f6,2115
HtAtP,2q5/5k1p/p5p1/8/3N4/1Q4P1/5P1P/2q1R1K1 b - - 1 34,f7g7 e1c1 c8c1 g1g2,2143
HtF6H,6k1/5pp1/3p1b1p/2qPp3/4B1Q1/3P3P/5PPK/q7 b - - 1 35,c5f2 g4c8 f6d8 c8d8,876
HtmCV,8/7p/5Q2/4pP1k/3pP1n1/3P2q1/2P1Q1P1/6K1 w - - 0 39,f6g7 g3h2 g1f1 h2h1,965
Htn7T,1Q6/5pk1/B4n1q/3p4/3P4/2r2Np1/P5P1/3Q1R1K w - - 1 33,f3h4 h6h4 h1g1 h4h2,902
Huc6b,Q7/6k1/3p4/3Pp2p/4P3/5nqP/1P2R3/3r1Q1K w - - 1 43,f1d1 g3h3 e2h2 h3h2,1183
HvMhc,2q5/pk3P2/3Q4/1p6/4P3/1K3P2/PP6/8 w - - 7 53,f7f8q c8c4 b3a3 c4a4,1020
HvNNY,rn1q1rk1/pp1b1p1p/1b1Q1P2/8/8/1B3N2/Pp3PPP/R4RK1 b - - 0 15,b2a1q d6g3 d7g4 g3g4 g8h8 g4g7,1500
HvXip,2Q5/8/2k5/8/4P3/7P/q4BPK/1q6 b - - 0 50,c6d6 f2c5 d6e5 c8f5,2103
HvaPC,r6k/4RQbp/6p1/3N4/3q4/6P1/p4PPK/8 b - - 1 36,a2a1q e7e8 a8e8 f7e8 g7f8 e8f8,1217
Hw1FJ,1Q2R3/5pk1/4p1p1/3pP3/K2P4/P4q2/2B5/7q b - - 1 45,h1a1 e8g8 g7h6 b8f8 h6g5 g8g6 f7g6 f8f3,2454
HwC6C,4r1k1/3b1p2/4p1pB/3pP3/3P2P1/2q3NP/1p3Q1K/5B2 b - - 1 36,b2b1q f2f6 c3d2 h6d2,2232
HwLgl,6qk/2pQ4/1p1b4/1P2N2K/P2P4/5Nq1/8/8 b - - 0 59,g3h3 d7h3 g8h7 h5g4 h7h3 g4h3,1298
Hweuc,2Q5/r4pkp/6p1/2Rp3b/1P2pP2/2P1P2P/2Q2K2/q7 w - - 1 36,c5d5 a1h1 f2g3 h1g1 c2g2 g1e3 g3h4 e3f4 g2g4 h5g4,1738
HxNtO,1Q4k1/5b2/5p1p/2Q1p1p1/4P1P1/5BKP/3q4/2q5 b - - 0 44,g8g7 c5f8 g7g6 f8g8 f7g8 b8g8,1488
HySvW,4B2k/1QQ4p/5pp1/4p3/4P3/5PKP/6P1/4q3 w - - 9 47,g3g4 h7h5,1330
HyVl5,2Q2b1k/6p1/7p/3B4/1q1P3P/2n3P1/p2B1PK1/8 b - - 0 44,a2a1q d2c3 b4d6 c3a1,1652
HzI77,5r2/p3b1pk/4Q3/1Q2p1p1/3p4/1P1P2pP/P4q2/R1R2B1K w - - 1 32,e6g4 f2h2,1046
HzMV7,Q7/6pk/7p/3p1Q2/3q4/6PK/7P/4q3 b - - 1 38,g7g6 f5f7 d4g7 a8g8,1829
HzZag,2Q4Q/8/3P2p1/R6p/5kp1/7P/4r1PK/8 w - - 4 55,d6d7 g4g3 h2g1 e2e1,959
I0Awr,Q2r1rk1/7p/1Q1pp1p1/2p5/2PnBPn1/6qP/3B2P1/1R3RK1 w - - 1 33,h3g4 d4e2 g1h1 g3h4,1154
I0B7R,Q7/6p1/kp5p/2ppq3/7P/PP4P1/K7/4q3 b - - 1 58,a6b5 a8a4,841
I0Bgi,Q1kr4/1p3p2/2b1pP2/4qp2/8/5P2/P5PP/2qR2K1 b - - 1 30,c8c7 a8d8,1111
I0CIx,4Q3/ppp1K1pk/2q4p/2b1p3/8/PQPP3P/1P6/8 w - - 8 33,e7f7 c6f6,1500
I1Kar,2krr3/Qpp3pp/5q2/8/B7/2PPp3/PP2Kp2/6R1 b - - 1 29,f2g1q a7a8,864
I1O3H,2Q4R/4Qpbk/4p1pp/2B5/8/5PP1/5PKP/qq6 b - - 3 33,g7h8 e7f7 h8g7 c8g8,936
I1OCY,2Q5/5ppk/1r4bp/p2Q4/4n3/4q1P1/4P1BP/2R4K w - - 1 30,g2e4 g6e4 d5e4 e3e4,1067
I1xRi,4r1k1/6p1/p3ppP1/3n3Q/2pP4/3qP3/1p3P1B/5RK1 b - - 1 36,b2b1q h5h7 g8f8 h2d6 e8e7 h7h8,1545
I2BQn,rnb5/1p1kpQP1/p7/2q5/5K2/5N2/P2B1PP1/3q1B2 b - - 3 23,d1a4 f4g3 d7c6 g7g8q,2112
I2Rns,R1bk1r2/1Q5p/4Bp2/1pq5/1b6/3P4/2p2PPP/4R1K1 b - - 2 23,c2c1q b7d7,1860
I2eC2,8/1Q4p1/5pkp/3N3q/p1p1PP2/1b4P1/3p2KP/8 b - - 7 46,d2d1q f4f5 h5f5 e4f5,1448
I2qSi,Q7/4b3/2Q1pk2/4p3/2P1Pp2/2B2q2/1KP5/6q1 b - - 0 50,f3c3 b2c3 g1e1 c3b2,1619
I39S7,1k1r2r1/1p2R2p/q4p2/P7/8/5QP1/3p1P1P/1R4K1 b - - 1 30,d2d1q b1d1 d8d1 f3d1,1076
I3ChV,q7/4k3/8/4Q3/4P3/3P2P1/5PK1/1q6 b - - 4 52,e7d8 e5h8 d8e7 h8a8,1091
I3X8z,3R4/p3Pk1p/1p3pr1/8/P2B2Q1/1P5P/2r3PK/4q3 w - - 3 41,e7e8q e1e8 g4g6 h7g6 d8e8 f7e8,1710
I3dQB,7Q/p4k2/3Q2p1/1q1p4/1p3B2/1Pb2P2/P2Kn3/7R w - - 3 35,d2d1 b5d3 f4d2 d3d2,948
I3mFR,5Q2/2p1P1pk/p6p/1p6/3P4/1KP2p2/PP6/4q3 w - - 5 46,e7e8q e1d1 b3b4 d1a4 b4c5 a4c4,1157
I3zYl,q2q4/3P3k/6pp/7P/8/3Q2P1/2P2P1K/8 b - - 0 40,a8b7 d3g6 h7h8 g6e8 d8e8 d7e8q,1767
I42zi,8/4N1pk/5pQp/8/1pP5/1q5P/6PK/3q4 b - - 3 36,h7h8 g6e8 h8h7 e8g8,965
I43xm,QQ6/4r1bp/2Np1kp1/2p2p2/5P2/6nP/1P4P1/1r4K1 w - - 4 34,g1f2 g3h1 f2f3 b1f1,1855
I4FJI,3Q4/3q1q1k/p2Kb3/2PpQ3/2PP2p1/4P3/8/8 w - - 6 58,d8d7 f7d7,808
I4cCD,1Q6/8/1KP1q3/8/1R4k1/8/8/5q2 b - - 1 59,g4g5 b8g3 g5f5 g3g4,1978
I4cg6,2R5/1K6/1p1Q4/6p1/p4R2/4k3/4q3/4q3 b - - 2 72,e2g2 b7b8 g5f4 c8e8 e3f3 e8e1,1982
I4fpr,8/4P1kp/3Q1p2/p6q/1p3r1r/1P6/P3R1P1/4R1K1 w - - 1 43,e7e8q h4h1,950
I4kzo,2Q5/6pk/6q1/3Q1B1p/3b4/4p2P/6r1/6K1 w - - 0 37,d5g2 e3e2 g1h2 d4e5 g2g3 e5g3 h2g2 e2e1q f5g6 h7g6,1751
I4nqR,8/1Q3p1k/2p3b1/1p6/1P6/5pP1/4q1PK/6Q1 w - - 4 50,b7c6 f3f2 g1f2 e2f2,1415
I4voJ,8/7p/p3R3/4P1k1/8/q3B3/P2r2PP/2q2RK1 b - - 5 33,g5g4 h2h3 g4h4 e6h6 h4g3 e3f4,1592
I5Kiy,Q4rk1/1Q3ppp/3b4/8/R7/1P5P/5qBK/8 w - - 2 35,h2h1 f2e1 g2f1 e1f1,1304
I5O36,6k1/p4ppp/1p6/8/2P5/1P3PQP/P3p1PK/3q4 b - - 3 32,e2e1q g3b8 d1d8 b8d8 e1e8 d8e8,903
I5ohq,5r1k/1b2P1p1/4Q2p/8/r7/q4NP1/1p3PBP/1R1n2K1 w - - 2 32,e7f8q a3f8 e6b3 a4a1 b3d1 f8a8 h2h4 b7e4 f3d2 e4g2,2576
I5uEg,N7/p2k2qP/2np4/1pp4Q/4P3/4B3/P5PP/5bK1 w - - 0 27,h7h8q g7g2,604
I6MQy,5Q2/8/3p1p1k/p2P2p1/Pp2P3/5Pq1/1PK1B3/7q b - - 3 48,h6g6 f8g8 g6h6 g8h8,953
I6NIV,4k3/4n3/p3PQp1/5p2/2p2P2/2P1P1K1/Pq1p2P1/8 b - - 0 41,d2d1q f6h8 e7g8 h8g8 e8e7 g8f7 e7d6 f7d7,1775
I79Id,2r2k2/p2r1qn1/5R1Q/2q1p3/4P3/1P1P4/PB6/K6R b - - 5 36,c8c6 f6c6 c5c6 h6c6,2593
I7izj,Q5Q1/3q1pp1/3r2kp/8/8/4P1P1/3p1PKP/8 w - - 2 45,a8e4 f7f5 g8e8 d7e8 e4e8 g6h7,2081
I88oL,Q2r3r/1Pk1b1p1/3p1p2/2q4p/4PP2/8/2PB2PP/1R5K w - - 7 35,b7b8q d8b8 d2a5 c7d7 b1b8 h8b8,2161
I9iPD,6k1/2p2rPp/p3p3/P3q3/2P4P/1R5K/4p1Q1/8 b - - 0 34,e2e1q b3b8 f7f8 g7f8q,1424
IAIXK,4Q3/5Np1/5bkp/3Pp3/3nPq2/1q4NP/5PPK/8 b - - 5 41,d4e2 f7g5 g6g5 e8h5,2265
IAQRM,6k1/5p1p/3qbQ2/p2B4/6R1/p3P1PP/5P1K/1qr5 b - - 1 36,e6g4 f6f7 g8h8 f7g8,1529
IAQW0,1Q4nk/P4rpp/8/5q2/8/8/5PPP/1R4K1 w - - 1 32,a7a8q f5f2 g1h1 f2f1 b1f1 f7f1,1064
IAmzz,4Q2k/6pp/2p5/8/2p2qPP/q4R1K/r7/8 b - - 1 40,f4f8 e8f8 a3f8 f3f8,797
IBA1a,8/P1Q3pp/4p1k1/4p3/8/1P4PP/4pqPK/8 w - - 0 36,a7a8q e2e1q a8e8 g6h6,1414
IC08a,6n1/p5k1/2p1PNp1/2q2pQR/5P2/1P5K/P5PP/4q3 b - - 1 33,c5e3 g2g3 e1f1 h3h4 e3e6 h5h7 g7f8 h7h8,2594
IC68t,2r3k1/1r3p1p/1P4p1/p1R5/P2Q4/8/2ppq1PP/6RK b - - 1 36,d2d1q c5c8 e2e8 c8e8,1226
IDFd0,1R6/3P1kpp/2b5/p4p2/3p1N2/2q2rP1/P1P2QKP/8 w - - 0 28,d7d8q f3f4 g2f1 f4f2,2630
IDG4D,8/BP4bk/8/4p1q1/Q3P3/5p2/5P2/5K2 w - - 0 39,b7b8q g5c1 a4d1 c1d1,1611
IDTt4,8/P2b3p/2p1k1rq/2Q1b3/1B1pPp2/3P1B2/5PPP/R5RK w - - 1 35,a7a8q h6h2 h1h2 g6h6 f3h5 h6h5,1259
IEDuF,1Q6/8/8/8/4n3/3nkn2/8/2K5 w - - 7 59,c1c2 f3d4 c2b1 e4c3 b1a1 d4c2,2197
IEHnG,4Q3/2Q3pp/5p1k/8/P4PPK/3q4/2p4P/8 w - - 2 41,e8c8 g7g5 f4g5 f6g5,1062
IEa8K,k6B/pN3p1p/1nQ1p3/5b2/8/8/PPPR2p1/2KB3q b - - 0 30,g2g1q d2d8 b6c8 c6c8,1440
IF4cj,5k2/2qP4/2N1P2p/1p1K4/8/1P4P1/p6P/8 b - - 1 47,a2a1q e6e7 f8g7 e7e8n g7g6 e8c7,1751
IFQVi,2nB2r1/P1P5/4k3/Q2pp2p/8/5r2/5P2/7K w - - 0 45,a7a8q f3h3,864
IFYH5,8/2Q4p/2Qp2pk/5r2/2Bp3q/1P6/6PK/R3R3 w - - 1 38,h2g1 h4f2 g1h2 f5h5,1092
IFea0,R7/1Pqn1pk1/4r1pp/4p3/1Q2P3/7P/5PPB/6K1 w - - 3 34,b7b8q c7c1 b4e1 c1e1,604
IFfqw,r4rk1/5p2/4pPP1/3p2N1/3q4/8/5PBQ/q4RK1 b - - 0 34,d4f6 h2h7,835
IG0FX,Q7/1P3ppk/8/p7/P6q/3r4/5PP1/3r1RK1 w - - 1 35,b7b8q d1f1 g1f1 h4h1 f1e2 h1d1,1391
IGCUQ,6k1/pp4p1/2q2BK1/5R1Q/7P/1P6/P1q5/8 b - - 3 39,g7f6 h5h7 g8f8 h7f7,1173
IGHLN,4Q2Q/p5p1/5r1p/3p2k1/1B1Pb3/P7/1P2q1PP/R5K1 w - - 5 35,e8e4 e2f2 g1h1 f2f1 a1f1 f6f1,1496
IGID3,1Q6/P4ppk/7p/8/N3n2q/8/2P2rP1/5RK1 w - - 0 31,a7a8q f2f1 g1f1 h4f2,1588
IGd8D,QQ6/5pkp/2qb2p1/3p4/3P4/4P2P/5PPK/8 w - - 1 44,h2g1 c6c1,706
IGnL9,3Q2nk/6bp/6p1/1p6/8/4q3/PP3pPP/2RQ3K w - - 1 35,c1c8 e3e1 d1e1 f2e1q,1113
