PuzzleId,Rating,PGN,Solution,FEN,Moves
0u04V,1130,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Qb6 6. Be3 Qxb2 7. Na4 Qb4+ 8. c3 Qa5 9. Nxc6 dxc6 10. Bc4 Nxe4 11. O-O Nxc3 12. Qf3 Qxa4 13. Qxf7+ Kd8 14. Bb3 Qe4 15. Rad1+ Nxd1 16. Re1,Kc7 Bf4+ Qxf4 Qxf4+,r1bk1b1r/pp2pQpp/2p5/8/4q3/1B2B3/P4PPP/3nR1K1 b - - 1 16,d8c7 e3f4 e4f4 f7f4
0uBAW,1770,1. d4 d5 2. c4 c6 3. Nc3 a6 4. Nf3 dxc4 5. a4 Bg4 6. e3 e5 7. Bxc4 exd4 8. Bxf7+ Kxf7 9. Ne5+ Ke8 10. Qxg4 dxc3 11. bxc3 Nh6 12. Qh5+ g6 13. Qf3 Bg7 14. Qe4 Qe7 15. f4 Nd7 16. Ba3 Qe6 17. O-O Nxe5 18. fxe5 Nf5 19. Rad1 Qxe5 20. Qb4 Rd8 21. Rxd8+ Kxd8 22. Qxb7 Qxe3+ 23. Kh1 Be5 24. Qa8+ Kd7 25. Rd1+,Ke6 Qxc6+ Bd6 Bxd6,Q6r/3k3p/p1p3p1/4bn2/P7/B1P1q3/6PP/3R3K b - - 5 25,d7e6 a8c6 e5d6 a3d6
0uGOO,2192,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5 e6 7. f3 a6 8. Qd2 Bd7 9. O-O-O Nxd4 10. Qxd4 Be7 11. h4 Qc7 12. Kb1 Rc8 13. Bd3 b5 14. Ne2 h6 15. Be3 h5 16. Bg5 e5 17. Qe3 Be6 18. Nc1 d5 19. Bxf6 Bxf6 20. exd5 Bxd5 21. Bf5 Be6 22. Be4 O-O 23. g4 hxg4 24. fxg4 Bxg4 25. Rdg1,Be6 Qh6 g6 Bxg6,2r2rk1/2q2pp1/p4b2/1p2p3/4B1bP/4Q3/PPP5/1KN3RR b - - 1 25,g4e6 e3h6 g7g6 e4g6
0ucwR,1314,1. e4 e5 2. Nf3 Nf6 3. Nc3 Bc5 4. Bc4 Nc6 5. O-O h6 6. h3 d6 7. a3 a6 8. b4 Ba7 9. Bb2 Be6 10. Nd5 O-O 11. d3 b5 12. Bb3 a5 13. c3 axb4 14. cxb4 Qd7 15. a4 Bxd5 16. exd5 Nxb4 17. axb5 Nbxd5 18. Ba4 Nb6 19. Bb3 Qxb5 20. Nh4 Nbd5 21. Nf5 Kh7 22. Bc1 Bd4 23. Rb1 Qd7 24. Qf3 Ra1 25. Rxa1 Bxa1 26. g4 Ne7 27. Nxh6 gxh6 28. Qxf6 Ng6 29. f3 Bd4+ 30. Kh2 Qe7 31. Qf5 Kg7 32. Bd2,Qf6 Bxh6+ Kxh6 Qxf6,5r2/2p1qpk1/3p2np/4pQ2/3b2P1/1B1P1P1P/3B3K/5R2 b - - 6 32,e7f6 d2h6 g7h6 f5f6
0uk7T,2180,1. Nf3 c5 2. c4 g6 3. Nc3 Bg7 4. e3 Nf6 5. d4 cxd4 6. exd4 d6 7. Be2 Nc6 8. d5 Nb8 9. O-O O-O 10. Rb1 a6 11. b4 Bf5 12. Bd3 Bg4 13. h3 Bxf3 14. Qxf3 Nbd7 15. Be2 Ne5 16. Qe3 Rc8 17. c5 Nfd7 18. Ba3 Re8 19. f4 e6 20. fxe5 exd5 21. Qf2 Nxe5 22. Nxd5 dxc5 23. Rbd1 Qg5 24. bxc5 f5 25. Nb6 Rcd8 26. Nc4 Nc6 27. Nd6 Re7 28. Bc4+ Kf8 29. Qf4 Qh5 30. Rfe1 Be5 31. Qf3 Qh4,Qf2 Bd4 Rxd4 Rxe1+,3r1k2/1p2r2p/p1nN2p1/2P1bp2/2B4q/B4Q1P/P5P1/3RR1K1 w - - 14 32,f3f2 e5d4 d1d4 e7e1
0w1M9,1692,1. d4 e6 2. Nf3 d5 3. Nc3 c5 4. dxc5 Nf6 5. Bg5 Bxc5 6. e4 Be7 7. exd5 Nxd5 8. Nxd5 exd5 9. Bxe7 Qxe7+ 10. Qe2 Nc6 11. Qxe7+ Nxe7 12. Nd4 O-O 13. O-O-O Bg4 14. f3 Be6 15. Nxe6 fxe6 16. Bd3 a5 17. Rde1 Rf6 18. Re2 Nc6 19. Rhe1 Nd4 20. Re3 Re8 21. c3 Nc6 22. Bb5 Rc8 23. Rxe6 Rxe6 24. Rxe6 Kf7 25. Rd6 Ne7 26. Bd7 Rc5 27. Rb6 Rc7 28. Be6+ Ke8 29. Rb5 d4 30. Rxa5 dxc3 31. Kb1 c2+ 32. Kc1 Nc6 33. Ra8+ Ke7,Bd5 Nd4 Be4 Ne2+ Kd2 c1=Q+,R7/1pr1k1pp/2n1B3/8/8/5P2/PPp3PP/2K5 w - - 4 34,e6d5 c6d4 d5e4 d4e2 c1d2 c2c1q
0w2Ru,1259,1. e3 d5 2. d4 Nf6 3. Nf3 e6 4. Nc3 c5 5. dxc5 Nc6 6. Bd2 a5 7. Bb5 Bd7 8. O-O Bxc5 9. h3 O-O 10. a3 Ne4 11. Nxe4 dxe4 12. Bxc6 Bxc6 13. Nh2 f5 14. Bc3 Qe7 15. Qh5 Be8 16. Qe2 b5 17. Rfd1 b4 18. axb4 Bxb4 19. Bxb4 Qxb4 20. c3 Qe7 21. Qc4 Rf6 22. b4 Rg6 23. Rxa5 Qg5 24. g3 f4 25. exf4 Qxf4 26. Rxa8 Kf7 27. Ra7+ Kf8 28. Qc5+ Kg8 29. Qe7 Rxg3+ 30. fxg3 Qxg3+,Kf1 Bb5+ c4 Bxc4+ Rd3 Bxd3#,4b1k1/R3Q1pp/4p3/8/1P2p3/2P3qP/7N/3R2K1 w - - 0 31,g1f1 e8b5 c3c4 b5c4 d1d3 c4d3
0wIoo,1419,1. d4 g6 2. e4 Bg7 3. Nc3 d6 4. f4 c6 5. Nf3 Bg4 6. Bd3 Bxf3 7. Qxf3 Bxd4 8. Bd2 Nd7 9. g4 Qb6 10. O-O-O a5 11. g5 a4 12. a3 e6 13. h4 Ne7 14. h5 O-O-O 15. Rh3 d5 16. Nxa4 Qa7 17. Nc3 Nc5 18. Rdh1 Na4 19. Nxa4 Qxa4 20. c3 Bg7 21. hxg6 hxg6 22. Rh7 dxe4 23. Qxe4 Qxe4 24. Bxe4 Nf5 25. Bxf5 exf5 26. Kc2 Kd7 27. c4 b6 28. Be3 Kc7 29. b4 Rde8 30. Bd2 b5 31. cxb5 cxb5 32. Rxh8,Rxh8 Rxh8 Bxh8 Bc3 Bxc3 Kxc3,4r2R/2k2pb1/6p1/1p3pP1/1P3P2/P7/2KB4/7R b - - 0 32,e8h8 h1h8 g7h8 d2c3 h8c3 c2c3
0wQqW,1809,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 e5 5. Nxc6 bxc6 6. Bd3 Nf6 7. Bd2 d5 8. exd5 cxd5 9. O-O Bc5 10. a3 O-O 11. Bb4 Qb6 12. c3 d4 13. cxd4 exd4 14. Bxc5 Qxc5 15. b4 Qe5 16. Nd2 Bg4 17. f3 Qe3+ 18. Kh1 Bh5 19. Ne4 Nxe4 20. Bxe4 Rfd8 21. Bxa8 Rxa8 22. Re1 Qf4 23. Re4 Qf6 24. Qxd4 Qc6 25. Rae1 h6 26. Qe3 Bg6 27. Re7 a5 28. bxa5 Rxa5 29. h3 Qd6 30. g4 Rxa3 31. Re8+ Kh7 32. Qe2 f6 33. Re6 Qd5 34. Rf1 Ra2 35. Qe3 Bf7,Re7 Qd6 Rf2 Rxf2 Qxf2 Qxe7,8/5bpk/4Rp1p/3q4/6P1/4QP1P/r7/5R1K w - - 6 36,e6e7 d5d6 f1f2 a2f2 e3f2 d6e7
0wTby,1062,1. d4 f5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Be7 5. Qc2 O-O 6. e4 fxe4 7. Nxe4 Nxe4 8. Qxe4 Bf6 9. h4 d6 10. Bg5 Qe8 11. Bxf6 Rxf6 12. Ng5,Qf8 Qxh7#,rnb1q1k1/ppp3pp/3ppr2/6N1/2PPQ2P/8/PP3PP1/R3KB1R b KQ - 1 12,e8f8 e4h7
0wbrB,1544,1. e4 e5 2. f4 d5 3. exd5 exf4 4. c4 Qh4+ 5. Ke2 Bg4+ 6. Nf3 Nd7 7. d4 O-O-O 8. Bxf4 Re8+ 9. Kd2 Bxf3 10. Qxf3 Qe1+ 11. Kc2 Bb4 12. g3 Ngf6 13. Bd3 Qe7 14. Nc3 Bxc3 15. Kxc3 a5 16. a3 Kb8 17. b4 Nb6 18. bxa5 Na4+ 19. Kc2 Qd7 20. Rab1 h6 21. Rb4 g5 22. Be5 Rxe5 23. dxe5 Ng4 24. Rhb1 Nc5 25. Bf5 Ne3+ 26. Qxe3 Qxf5+ 27. Kc3 Na4+,Kd4 c5+ dxc6 Rd8#,1k5r/1pp2p2/7p/P2PPqp1/nRP5/P1K1Q1P1/7P/1R6 w - - 2 28,c3d4 c7c5 d5c6 h8d8
0wvIU,753,1. e4 e5 2. Nf3 Nc6 3. b3 Nf6 4. Nc3 Bc5 5. Bc4 d6 6. O-O Bg4 7. h3 Bh5 8. Be2 Qd7 9. Qe1 Nd4 10. Nxd4 exd4 11. Bxh5 Nxh5 12. Na4 Bb4 13. a3 Ba5 14. Qe2 Nf4 15. Qf3 g5 16. d3 b5 17. Nb2 Bc3 18. Rb1 Rg8 19. Nd1 O-O-O 20. Nxc3 dxc3 21. e5 Kb8 22. exd6 cxd6 23. a4 b4 24. Bxf4 gxf4 25. Qxf4 Qxh3 26. Qxb4+ Ka8 27. Qe4+ Kb8 28. Rbe1 Rg4,Qe3 Qxg2#,1k1r4/p4p1p/3p4/8/P3Q1r1/1PpP3q/2P2PP1/4RRK1 w - - 5 29,e4e3 h3g2
0xBy6,1832,1. e4 c5 2. Nf3 Nc6 3. Nc3 e5 4. Bc4 Be7 5. Bd5 Nf6 6. Bxc6 bxc6 7. Nxe5 O-O 8. d4 cxd4 9. Qxd4 c5 10. Qe3 Bb7 11. Bd2 d6 12. Nf3 h6 13. O-O-O Ng4 14. Qe2 a5 15. h3 Ba6 16. Qe1 Nf6 17. Nd5 Nxd5 18. exd5 a4 19. Qe4 Bf6 20. Qg4 Be2 21. Rde1 Bxf3 22. gxf3 Qb6 23. c3 a3 24. b3 c4 25. b4 Qxf2 26. Rhg1 Kh7 27. Bxh6 Qb2+ 28. Kd1 Qb1+ 29. Ke2 Rae8+ 30. Kf2 Qxa2+ 31. Kf1 Rg8 32. Qh5 Rxe1+ 33. Kxe1,Qb1+ Bc1#,6r1/5ppk/3p1b1B/3P3Q/1Pp5/p1P2P1P/q7/4K1R1 b - - 0 33,a2b1 h6c1
0xDgI,1822,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6 7. Bg5 a6 8. Na3 b5 9. Nd5 Be7 10. Bxf6 Bxf6 11. c3 Bg5 12. Nc2 Rb8 13. b4 Ne7 14. a4 Nxd5 15. Qxd5 Qc7 16. Qd3 O-O 17. h4 Bh6 18. axb5 axb5 19. Be2 Be6 20. Na3 Rfc8 21. O-O Qxc3 22. Nxb5 Qxb4 23. Rfb1 Qc5 24. Nxd6 Rxb1+ 25. Rxb1 Rf8 26. Nb7 Qe7 27. Na5 Qxh4 28. Nc6 Bg5 29. Qd6,Qxe4 Qxf8+ Kxf8 Rb8+ Bc8 Rxc8+ Bd8 Rxd8#,5rk1/5ppp/2NQb3/4p1b1/4P2q/8/4BPP1/1R4K1 b - - 3 29,h4e4 d6f8 g8f8 b1b8 e6c8 b8c8 g5d8 c8d8
0xIG2,1372,1. e4 d5 2. exd5 Qxd5 3. d4 a6 4. Nc3 Qd6 5. Nf3 Nf6 6. Bd3 e6 7. O-O b5 8. a3 Bb7 9. Bd2 Ng4,h3 Bxf3 hxg4 Bxd1,rn2kb1r/1bp2ppp/p2qp3/1p6/3P2n1/P1NB1N2/1PPB1PPP/R2Q1RK1 w kq - 3 10,h2h3 b7f3 h3g4 f3d1
0xLnD,1218,1. b4 Nf6 2. Bb2 g6 3. Nf3 Bg7 4. c4 O-O 5. d3 d6 6. e3 e5 7. Nbd2 Bg4 8. Be2 Nc6 9. a3 Qd7 10. O-O Rfe8 11. Re1 e4 12. Nd4 Nxd4 13. Bxd4 exd3 14. Bxg4 Nxg4 15. Nb3 Qf5 16. Rf1 Bxd4 17. Nxd4 Qe5,Qxd3 Qxh2#,r3r1k1/ppp2p1p/3p2p1/4q3/1PPN2n1/P2pP3/5PPP/R2Q1RK1 w - - 1 18,d1d3 e5h2
0xSlq,794,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Bb4 5. Nf3 O-O 6. Bd3 Nbd7 7. O-O c6 8. Ne5 a5 9. f4 Bxc3 10. bxc3 Ne4 11. Bxe4 dxe4 12. Qh5 Nxe5 13. fxe5 b5 14. cxb5 cxb5 15. Ba3 Re8 16. Qxf7+ Kh8 17. Be7 Qd7 18. Qf8+,Rxf8 Rxf8#,r1b1rQ1k/3qB1pp/4p3/pp2P3/3Pp3/2P1P3/P5PP/R4RK1 b - - 4 18,e8f8 f1f8
0xlkW,1950,1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Bf4 dxc4 5. Nc3 b5 6. e4 e6 7. a4 Bb4 8. Qc2 Bb7 9. Be2 O-O 10. O-O a6 11. axb5 cxb5 12. e5 Nd5 13. Be3 Nxc3 14. bxc3 Be7 15. h4 f6 16. h5 Nd7 17. h6 fxe5 18. Nxe5 Nxe5 19. dxe5 Qd5 20. f3 Qxe5 21. Bd4 Bc5 22. Bxc5 Qxc5+ 23. Rf2 gxh6 24. Rd1 Rad8 25. Rxd8 Rxd8 26. Qc1 Qg5 27. f4 Qg3 28. Qa3 Rf8 29. Qd6 Bd5 30. Qxa6,Rxf4 Qc8+ Kf7 Qc7+ Kg6 Qxf4 Qxf4 Rxf4,5rk1/7p/Q3p2p/1p1b4/2p2P2/2P3q1/4BRP1/6K1 b - - 0 30,f8f4 a6c8 g8f7 c8c7 f7g6 c7f4 g3f4 f2f4
0xyCJ,1424,1. d4 d5 2. Nc3 c6 3. Bf4 Bf5 4. Nf3 Nd7 5. Ne5 Nxe5 6. Bxe5 Nf6 7. e3 e6 8. Bd3 Bg6 9. f4 Bd6 10. Bxg6 hxg6 11. Qd3 Qe7 12. g4 Bxe5 13. fxe5 Nxg4 14. O-O-O Nf2 15. Qf1 Nxd1 16. Kxd1 Qb4 17. Qf3 Qxb2 18. Kd2 O-O-O 19. Qxf7,Rhe8 Rb1 Qxb1 Nxb1,2kr3r/pp3Qp1/2p1p1p1/3pP3/3P4/2N1P3/PqPK3P/7R b - - 0 19,h8e8 h1b1 b2b1 c3b1
0xzLQ,2486,1. c4 g6 2. Nc3 Bg7 3. d4 d6 4. Nf3 Bf5 5. e4 Bg4 6. Be2 Nc6 7. O-O Nxd4 8. Nxd4 Bxe2 9. Ncxe2 Be5 10. Bf4 Bf6 11. Qb3 g5 12. Be3 h5 13. Rad1 h4 14. Nf5 e6 15. Nfd4 h3 16. g3 Be5 17. f4 gxf4 18. Bxf4 Bxf4 19. gxf4 Nf6 20. Qf3 Qe7 21. e5 Rg8+ 22. Ng3 dxe5 23. fxe5 Ng4 24. Qxb7 Rd8 25. Nc6 Qc5+,Kh1 Nf2+ Rxf2 Rxd1+ Nf1 Kd7 Rxf7+ Ke8 Re7+ Qxe7 Qc8+ Kf7,3rk1r1/pQp2p2/2N1p3/2q1P3/2P3n1/6Np/PP5P/3R1RK1 w - - 3 26,g1h1 g4f2 f1f2 d8d1 g3f1 e8d7 f2f7 d7e8 f7e7 c5e7 b7c8 e8f7
0xzwS,1967,1. e4 e5 2. f4 Qh4+ 3. g3 Qe7 4. Nc3 exf4 5. Nf3 fxg3 6. hxg3 Nf6 7. e5 d6 8. d4 dxe5 9. dxe5 Ng4 10. Qd4 Nc6 11. Qe4 Qc5 12. Bf4 Nf2 13. Qe2 Nxh1 14. O-O-O Nf2 15. Nd5 Nxd1 16. Nxc7+ Kd7 17. e6+,fxe6 Qxe6+ Kd8 Qe8#,r1b2b1r/ppNk1ppp/2n1P3/2q5/5B2/5NP1/PPP1Q3/2Kn1B2 b - - 0 17,f7e6 e2e6 d7d8 e6e8
0y94k,1583,1. e4 e6 2. d4 d5 3. exd5 Qxd5 4. Nc3 Bb4 5. Bd2 Bxc3 6. Bxc3 Nf6 7. Nf3 Ne4 8. Qd3 O-O 9. Nd2 Nf6 10. O-O-O Qxa2 11. Nb3 Nc6 12. h4 Ng4 13. Qg3 e5 14. f3 Ne3 15. Re1 exd4 16. Rxe3 dxc3 17. Rxc3 Bf5 18. h5 Rad8 19. Rc5 Be6 20. Rg5 g6 21. hxg6,Bxb3 gxh7+ Kh8 Rg8+ Rxg8 hxg8=Q#,3r1rk1/ppp2p1p/2n1b1P1/6R1/8/1N3PQ1/qPP3P1/2K2B1R b - - 0 21,e6b3 g6h7 g8h8 g5g8 f8g8 h7g8q
0yN1r,1729,1. e4 c6 2. Nf3 d5 3. c4 dxe4 4. Ng5 Nf6 5. Nc3 Bf5 6. h3 e5 7. c5 Bxc5 8. Nxf7 Kxf7 9. Bc4+ Be6 10. Bxe6+ Kxe6 11. O-O Ke7 12. Qe2 Qd4 13. Nd1 Ba3 14. Nc3 Bc5 15. a3 b5 16. b4 Bb6 17. Rb1 Qd3 18. Qe1 Bd4 19. Bb2 Bxc3 20. Bxc3 Nbd7 21. Qd1 Nd5 22. Rb3 Nxc3 23. Rxc3 Qd4 24. Qg4 g6 25. Rxc6,Rac8 Qe6+ Kd8 Rd6 Qxd6 Qxd6,r6r/p2nk2p/2R3p1/1p2p3/1P1qp1Q1/P6P/3P1PP1/5RK1 b - - 0 25,a8c8 g4e6 e7d8 c6d6 d4d6 e6d6
0ySU3,2009,1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 e6 6. e3 c5 7. Bxc4 cxd4 8. exd4 Nc6 9. O-O Be7 10. Re1 O-O 11. Bd3 Nb4 12. Bb1 Bd7 13. Ne5 Bc6 14. Bg5 Rc8 15. Qd2 Nfd5 16. Bxe7 Qxe7 17. Ne4 a5 18. Ng5 g6 19. Ngf3 Qf6 20. Qh6 Qg7 21. Qh4 f6 22. Ng4 Rce8 23. Qg3 Kh8 24. h4 Re7 25. Ne3 Rd8 26. Ra3 Nb6 27. Qf4 Bxf3 28. gxf3 N6d5 29. Qg3 Rc7 30. Be4 Nb6 31. Rd1 Rcd7 32. Raa1 Rxd4 33. Rxd4 Rxd4 34. Qb8+ Qg8 35. Qxb7 Qd8,Rc1 Rd7 Rd1 Rxd1+,3q3k/1Q5p/1n2ppp1/p7/Pn1rB2P/4NP2/1P3P2/R5K1 w - - 1 36,a1c1 d4d7 c1d1 d7d1
0yuuk,2037,1. d4 d5 2. c4 c6 3. e3 Bf5 4. Nc3 e6 5. Nf3 Nf6 6. Bd3 Bg6 7. cxd5 cxd5 8. Qc2 Bxd3 9. Qxd3 Nc6 10. O-O Bd6 11. Re1 O-O 12. e4 dxe4 13. Nxe4 Nxe4 14. Qxe4 Qc7 15. Ng5 g6 16. Qh4 h5 17. g4 Nxd4 18. gxh5 Be7,hxg6 Nf3+ Nxf3 Bxh4,r4rk1/ppq1bp2/4p1p1/6NP/3n3Q/8/PP3P1P/R1B1R1K1 w - - 1 19,h5g6 d4f3 g5f3 e7h4
0zThi,1705,1. d4 d5 2. Bf4 Nf6 3. e3 Bf5 4. c4 e6 5. Qb3 b6 6. Nc3 dxc4 7. Bxc4 a6 8. Nf3 Bd6 9. Bxd6 Qxd6 10. Ne5 Nbd7 11. Rd1 Ne4 12. Nxe4 Bxe4 13. O-O Bd5 14. Bxd5 exd5 15. Qd3 c6 16. Qf5 Nxe5 17. dxe5 Qe6 18. Qg5 O-O 19. f4 f6 20. Qg3 fxe5 21. fxe5 Rf5 22. Rxf5 Qxf5 23. Rf1 Qe6 24. Rf6 Qe8 25. Qg4 Ra7 26. Rf5 Re7 27. Qf4 g6 28. Rg5 Kg7 29. Qf6+ Kh6 30. h4,Rf7 Rh5+ Kxh5 Qg5#,4q3/4r2p/ppp2Qpk/3pP1R1/7P/4P3/PP4P1/6K1 b - - 0 30,e7f7 g5h5 h6h5 f6g5
0zXFN,2014,1. e4 b6 2. d4 Bb7 3. Bd3 f5 4. f3 fxe4 5. Bxe4 Bxe4 6. fxe4 d6 7. Nf3 Nf6 8. Bg5 h6 9. Bxf6 exf6 10. Nh4 Qe7 11. Qh5+ Qf7 12. Qxf7+ Kxf7 13. O-O Nd7 14. Nd2 Re8 15. Rae1 Be7 16. c4 c5 17. d5 Ne5 18. b3 Bf8 19. Ndf3 g5 20. Nxe5+ Rxe5 21. Nf5 Kg6 22. g4 h5 23. h3 hxg4 24. hxg4 Rh3 25. Kg2 Rc3 26. Rf3 Rc2+ 27. Rf2 Rxf2+ 28. Kxf2 Kf7 29. Kf3 Ke8 30. Rh1 Kd7 31. Rh7+ Be7 32. Rxe7+ Rxe7 33. Nxe7 Kxe7 34. a3 Kd7 35. b4 cxb4 36. axb4 a5 37. bxa5 bxa5 38. Ke3 Kc7 39. Kd4 Kb6 40. Kc3,a4 Kb4 a3 Kxa3 Kc5 Kb3 Kd4 Kb4 Kxe4 Kb5 f5 gxf5,8/8/1k1p1p2/p2P2p1/2P1P1P1/2K5/8/8 b - - 5 40,a5a4 c3b4 a4a3 b4a3 b6c5 a3b3 c5d4 b3b4 d4e4 b4b5 f6f5 g4f5
0zgMt,1118,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. O-O Nf6 5. Re1 O-O 6. c3 d6 7. h3 Be6 8. Bf1 h6 9. a3 a6 10. d4 exd4 11. cxd4 Bb6 12. d5 Ba5 13. b4 Ne5 14. dxe6 Nxf3+ 15. Qxf3 Bb6 16. exf7+ Rxf7 17. Qe2 Nxe4 18. Qxe4 Bxf2+ 19. Kh1 Bxe1 20. Qxe1 Qf6 21. Bc4 Qxa1 22. Bxf7+ Kxf7 23. Nc3 Re8 24. Qf1+ Kg8 25. Nd5,Rf8 Ne7+ Kh7 Qxf8 Qxc1+ Kh2,4r1k1/1pp3p1/p2p3p/3N4/1P6/P6P/6P1/q1B2Q1K b - - 5 25,e8f8 d5e7 g8h7 f1f8 a1c1 h1h2
1048G,1010,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nd4 4. Nxd4 exd4 5. Bc4 d6 6. d3 h6 7. O-O Nf6 8. c3 dxc3 9. Nxc3 Be7 10. Be3 O-O 11. h3 Be6 12. Bb5 c6 13. Ba4 Qd7 14. f4 Bxh3 15. gxh3 Qxh3 16. Qf3 Qh4 17. Bb3 Ng4,Bf2 Qh2#,r4rk1/pp2bpp1/2pp3p/8/4PPnq/1BNPBQ2/PP6/R4RK1 w - - 4 18,e3f2 h4h2
105JN,895,1. e4 e5 2. f4 Nc6 3. Nf3 d6 4. d4 exd4 5. Nxd4 Nf6 6. Nxc6 bxc6 7. Nc3 d5 8. e5 Ng4 9. Be2 Qh4+ 10. g3 Qh3 11. Bd2 Qg2,Bf3 Qf2#,r1b1kb1r/p1p2ppp/2p5/3pP3/5Pn1/2N3P1/PPPBB1qP/R2QK2R w KQkq - 3 12,e2f3 g2f2
10Wwi,1314,1. e4 e5 2. Nf3 Nc6 3. Bb5 d6 4. O-O Nf6 5. Re1 Be7 6. c3 O-O 7. d4 exd4 8. cxd4 a6 9. Ba4 b5 10. Bb3 Bb7 11. Nc3 Na5 12. Bc2 c5 13. h3 cxd4 14. Nxd4 Qb6 15. Nf5 Rfe8 16. Be3 Qc7 17. Qf3 b4 18. Qg3 Bf8 19. Bh6 g6 20. Bxf8 Kxf8 21. Qh4,bxc3 Qh6+ Kg8 Qg7#,r3rk2/1bq2p1p/p2p1np1/n4N2/1p2P2Q/2N4P/PPB2PP1/R3R1K1 b - - 1 21,b4c3 h4h6 f8g8 h6g7
10aiK,2416,1. e4 e6 2. Nf3 d5 3. e5 c5 4. c3 Nc6 5. d4 Qb6 6. a3 Bd7 7. Qc2 Nge7 8. Be3 cxd4 9. Nxd4 Nxd4 10. Bxd4 Qc7 11. Nd2 Nf5 12. Rc1 g6 13. Bd3 Nxd4 14. cxd4 Qxc2 15. Bxc2 Bg7 16. O-O O-O 17. Bd3 a6 18. Nb3 Rac8 19. Nc5 Bc6 20. a4 Rfe8 21. a5 f6 22. f4 Rc7 23. b4 Bb5 24. Bxb5 axb5 25. g3 Kf7 26. Kf2 Rb8 27. Ke3 b6 28. axb6 Rxb6 29. Ra1 Ke7 30. Rf2 Bh6 31. Kd3 Bf8 32. Rfa2 fxe5 33. fxe5 Kf7 34. Rf1+ Kg7 35. Nxe6+ Rxe6 36. Ra8 Bxb4 37. Rb1 Be7 38. Rxb5 Bg5 39. Rxd5 Kh6 40. h4 Bc1 41. Raa5 Rec6 42. Rac5,Rxc5 Rxc5 Rxc5 dxc5 Bb2 Ke4 Bc3 Kd5,8/2r4p/2r3pk/2RRP3/3P3P/3K2P1/8/2b5 b - - 4 42,c6c5 d5c5 c7c5 d4c5 c1b2 d3e4 b2c3 e4d5
10m4x,1449,1. Nc3 e5 2. e4 Nf6 3. f4 exf4 4. e5 Qe7 5. Qe2 Ng8 6. d4 d5 7. Nxd5 Qd7 8. Nxf4 Be7 9. Nf3 c6 10. Be3 g5 11. e6 fxe6 12. Ne5 Qd6 13. Qh5+ Kd8 14. Nf7+ Kc7 15. Nxd6 Bxd6 16. Qxg5 Ne7 17. Bc4 Rg8 18. Qh6 Nf5 19. Qxh7+ Rg7 20. Qh3 Re7 21. O-O Na6 22. Bxa6 bxa6 23. Bd2 Bd7 24. Ba5+ Kb7 25. Qb3+ Kc8 26. Nd3 Rb8 27. Qc4 Rb5 28. Bc3 Ne3 29. Rf8+ Kc7 30. Qa4 Rg7 31. g3 Bxf8 32. Qxa6 Rb7 33. Nc5 Bxc5 34. dxc5 Rf7 35. Ba5+ Kb8 36. Re1 Nxc2 37. Re4 Rxb2 38. Rh4 Rf8 39. Bc3 Rb1+,Kg2 Ne3+ Kh3 e5+ g4 Rf3#,1k3r2/p2b4/Q1p1p3/2P5/7R/2B3P1/P1n4P/1r4K1 w - - 4 40,g1g2 c2e3 g2h3 e6e5 g3g4 f8f3
111Kk,1870,1. e4 e5 2. Nf3 Nf6 3. d4 exd4 4. e5 Nd5 5. Qxd4 c6 6. Bc4 Qb6 7. Bxd5 cxd5 8. Qxd5 d6 9. O-O Be6 10. Qe4 d5 11. Qf4 Nd7 12. Ng5 Be7 13. Nc3 O-O 14. Qg3 Rac8 15. Kh1 d4 16. Nce4 Rxc2 17. Qd3,Rc6 Nf6+ Nxf6 exf6,5rk1/pp1nbppp/1q2b3/4P1N1/3pN3/3Q4/PPr2PPP/R1B2R1K b - - 1 17,c2c6 e4f6 d7f6 e5f6
