FEN,Moves
1K1N4/1N2N2R/1k2N1N1/1N3NNR/3N2N1/8/8/R1R1N3,e7d5 e7c8 
N5R1/N2NN3/6NN/1N2NN2/R7/N3N1Nk/RN6/N3N2K,g6f4 
8/5NN1/7R/3k4/R1N4N/5NN1/5N1N/N1RKR3,c4e3 c4b6 
5R2/N6N/8/4N3/N6R/4k3/R7/1N1RK1NN,e5c4 e5g4 
1RKRNNN1/N4N2/3N2N1/NN6/4N3/R1N3N1/2k2N2/R7,b5a3 b5d4 
2R5/3N4/8/R6N/3k4/7R/3N2N1/3KR3,d2b3 d2f3 
2R5/3N4/8/8/3N3R/3k2N1/R7/1N1KR3,d7c5 d7e5 
6R1/N7/3N4/8/R7/3N3k/R7/N6K,d3f2 d3f4 
N1N1R1N1/3NNN2/5N2/7R/N2kN3/R7/5NN1/1NRK3N,e7f5 e7c6 
6N1/N1N3N1/3N4/N7/R7/7k/R7/3N2RK,d1f2 
N2R4/8/8/R7/4k3/R7/N5N1/4KR2,a2c3 
3N1R1N/1N4N1/2N3N1/8/4N2R/1N2k3/R3N3/2NRK1NN,g7f5 
1RK1NN2/RNN5/2kN4/R7/N3N3/4N1NN/5NN1/3R1N2,b7a5 b7d8 
3R2N1/7N/7R/4k3/4N2R/8/5N2/3NKR2,f2d3 f2g4 
2RKRN1N/5NN1/3N3N/5NN1/R7/3kN1N1/7R/8,f7e5 
2N1Nk2/7R/N4N1N/3N4/N1N5/5N1N/5NNN/4RKR1,f6d7 f6h7 
N2NK3/NN2N1N1/7N/R7/1N1Nk2N/R7/1N5N/N2R1R2,b7c5 b7d6 
2N5/3N3R/k2N2NN/N6R/3N2N1/8/8/KR3N2,d7c5 d7b8 
NN3N2/7R/3k4/R2N2NN/NN4N1/1N3N1N/7N/N1RKR3,g5e4 g5f7 
1NNN1KR1/1NN5/N2N4/5N2/7R/5k2/5N1R/4R3,f5d4 f5h4 
3N1R2/8/7R/1N2kN2/R7/6N1/N7/3RK3,d8c6 d8f7 
KR1N1N2/7R/k2N4/7R/3N3N/N7/N3N3/5N2,a2b4 
1RKR4/8/8/1N5N/5N2/7R/2k5/R1N5,b5a3 b5d4 
N2KR3/8/3N3R/2NkN3/7R/8/1N6/2R1N3,a8b6 a8c7 
4RKR1/2N5/8/8/4N3/2N4N/R7/5k2,e4d2 e4g3 
1R1N2N1/2N1N3/4NN1N/2N4R/NNk4N/R7/4N3/2KR4,a4b2 a4b6 
1R1R2N1/8/4N3/8/RN6/2kN4/R7/2K5,b4a2 b4d5 
1R6/4N2N/8/7R/k3N3/7R/2N5/K4NN1,e4c3 e4c5 
7R/3k4/4N2R/1N3N2/1N1N1N1N/N1N4N/N4N1N/N1RKR2N,e6c5 e6f8 
N2NRNR1/N1NN3N/7R/N1N2k2/7R/N4N2/8/2N2K2,f3d4 f3h4 
2NRKRN1/N5N1/NN2N3/3N4/8/N1N4N/7R/3Nk2N,a3c2 
4RKR1/3N4/N2N3N/R1N5/N1N1Nk2/RN3N2/N6N/NN6,c5d3 c5e6 
1K1NN3/8/8/1N5R/1k6/7R/8/R1R5,d8c6 
2N1NRNN/7N/4N3/1NN5/7R/2NNk3/N6R/3RK1N1,c3d1 c3d5 
NN4k1/R6N/3NN3/N7/8/8/4N3/N4RKR,h7f6 
3K4/4N2R/3k4/7R/8/3N1N2/8/N1R1R3,e7f5 e7c8 
RK1NN3/7R/1k6/7R/4N1N1/5N2/1NN2N2/N1R5,b2a4 b2c4 
1NN3R1/1N6/1N4N1/8/N6R/5kN1/1N3N1R/N2NRK1N,g6h4 g6e5 
4NRK1/NNN1N3/N7/R7/5Nk1/RN4N1/N3N3/N3N2R,e8f6 
NN3K2/N2N4/2NN4/R4N2/1NN2k2/R4N2/7N/N2NRNRN,b4d3 b4d5 
3N1NR1/RN6/5kN1/R7/8/8/N1N3N1/N3RK2,f8d7 f8h7 
1R6/7N/7R/k5N1/N6R/N1N2N1N/4N3/KN4N1,a3c4 
N2R4/7R/4k3/7R/8/4N3/8/4KR1N,a8c7 
2KRN2N/8/8/7N/7R/2k5/RNN4N/NR2N3,b2d1 b2a4 
8/8/N7/8/1N5R/5kN1/R1N5/4RKR1,c2e1 c2d4 
4kN2/7R/4N3/N7/N7/8/8/3RKR2,e6c7 e6g7 
4RKR1/8/2N5/8/8/R3N3/N4k2/7R,e3d1 e3g4 
1KR4N/3N3N/6N1/7R/1k1NN1N1/7R/3NN1N1/RN1N1N2,d4c2 d4c6 
N1R1R2N/8/7R/2Nk4/7R/1N4N1/1N1N4/2NKN3,a8b6 a8c7 
N1R2N2/R5NN/N2k4/R6N/1N4N1/3N3N/N1N1N3/3KR2N,g7f5 g7e8 
N2R1R2/2N5/8/7R/1N2k2N/R4N2/8/N3K3,f3d2 f3g5 
1R1NNN2/N7/4N3/7R/1Nk2N1N/R5NN/4N2N/N1KR3N,e8d6 
N4N2/5N2/N1N5/1NN3NN/R7/4k2N/NN5R/2NRKRNN,b2d1 b2c4 
5N2/8/5NN1/R1N5/2k5/R6N/4N3/1RKRN3,g6e5 
1NRKR3/6N1/N7/N7/8/1N6/4N2R/2Nk2N1,e2c3 
KR1N2N1/7R/k7/NN2N2R/2NN4/6N1/8/1N2N3,b5c7 
6R1/R7/N4kN1/7R/1NN5/8/2N5/NN2RK2,b4d5 
7N/8/2N5/R7/5k2/5N1R/8/4RKR1,h8g6 
1N1RN3/8/6NN/4N1N1/7R/2kN4/R5N1/1RK1N2N,g5e4 
1R6/7R/1Nk5/2N4R/2N5/2N4N/7N/2KR2N1,c4a5 c4e5 
3RKR1N/8/2N3NN/4N2R/3NkN2/R7/6NN/NN4N1,b1d2 b1c3 
4KR1N/7R/1N1Nk3/N3NN1R/1N6/6N1/NN6/N2R4,f5d4 f5g7 
2KRN1N1/1NN5/2N1N3/N7/R7/2kN4/7R/1R3N1N,c7b5 c7d5 
4N1k1/R7/3NN3/8/3N4/2N1N3/1N1N1N2/5RKR,e8f6 
2NR1R2/1N6/R7/3NkN2/N3N2R/NN6/2N5/NN2K2N,a3c4 
R1RN4/7R/1k6/6NR/3N1N2/5N2/6N1/1K1N4,f4d5 
5KR1/5N1R/4Nk2/7R/N1N5/1N1N3N/5N2/N1N1RN2,f2e4 f2g4 
1R3N2/5N2/8/7R/k1N5/7R/8/K4N2,c4b2 c4b6 
5k2/7R/8/4N3/8/N7/7N/4RKR1,e5g6 e5d7 
NR4NN/3N1NN1/2N1N3/3N2N1/N2N3R/kN6/7R/K7,d4c2 d4b5 
RKN5/1N3N1N/5N2/8/7R/1kN5/7R/2R5,b7a5 b7c5 
NNKR4/7N/N6N/R1N3NN/1Nk5/R1N5/4N2N/1RN5,a8b6 
NKR1N2N/5NN1/8/3N1N2/7R/1kN5/7R/R2N3N,f5d4 
1RKRN3/5N2/8/1N2N3/4N3/R1N5/2kN4/R1N5,b5a3 b5d4 
N1N1N2R/N3N3/R5N1/N2N2k1/R4N2/4N3/NN4N1/N4RKN,f4h3 f4e6 
N1KNN3/N7/R5N1/2k5/7R/8/8/1R1R4,d8e6 d8b7 
1N2KR2/7R/4kN2/R3N3/2N3N1/4N3/2N2N1N/1N1RNN2,c2d4 
2NRK3/7N/N4N1R/3Nk3/R7/8/4N3/N4R2,f6g4 f6d7 
2R5/5N2/7R/N2k4/R2N4/3N4/1N5N/2NKR3,d3b4 d3f4 
1N3R2/5N1R/4k3/4N2R/8/N1N5/8/3RK3,f7g5 f7d8 
1NR5/6NR/3k4/7R/6N1/8/8/3KRNN1,g7f5 g7e8 
N1KRN3/8/8/4N3/R7/2k2N2/7R/NRN5,c1a2 c1e2 
K4N2/8/N2N4/8/7R/k7/7R/1R3N2,d6c4 d6b5 
R3N3/1N5k/RN1N4/5N2/N4N2/6N1/NN6/3N2RK,e8f6 
2RKR2N/1N1N4/3N3R/N2k2N1/R2N4/1N6/3N4/4N1N1,d7b6 d7f6 
KRNNN1N1/N5NN/3N4/4N3/8/2N2N1N/7R/kNN5,c1b3 
N1RKRNNN/3N3N/7N/8/1N3NN1/7R/NN1k4/3N3R,b2c4 
k2N1N2/1N5R/2N2N2/N2N1N1N/7N/2N2N2/5N2/KR1N1N2,d5b6 d5c7 
N6R/5k2/R7/3N3N/N1NN1N1N/2N5/NN1NN3/2N1RKRN,c4e5 c4d6 
2NR1RN1/7R/4k3/R6N/1NN4N/N5N1/7N/N2NK3,h5f4 h5g7 
NN2NN2/1N6/8/8/R7/3Nk1N1/R3N3/1NNRKR2,g3f1 g3f5 
2RK2N1/3N4/3N4/8/R7/3k2N1/7R/4R3,d7c5 d7e5 
7R/2Nk4/R7/3N4/8/N7/8/N1RKR3,d5b6 d5f6 
2N4N/5N1R/N1N2kN1/R7/3N4/1N6/N1NN4/4RKRN,d2e4 
k7/7R/2NN2NN/1N6/1N4N1/8/8/KR4N1,b5c7 
1R1N1N2/7R/k2N4/7R/3N3N/5N2/2N5/KNN3N1,c2b4 
N1NN1N2/N7/4N3/1N4N1/R3N3/NN2kN1N/7R/3RKR1N,a3c2 a3c4 
K1NN3N/8/7R/kN6/7R/2N5/7N/1R6,d8c6 d8b7 
N1KR3N/4N2N/R5N1/2k2N1N/R6N/5N2/N1N5/1RNN3N,c1b3 c1d3 
2NN3K/8/3N4/2N5/R5N1/7k/R2N3N/2N1NNR1,g4f2 
1RKR4/8/4N3/5N2/8/6N1/R5N1/1Nk5,g3e2 
2K2N2/8/2N4R/2kN4/R7/8/N1N1N3/1R1R2N1,f8e6 f8d7 
NN1NRN2/8/1N4N1/N4NN1/7R/3k4/R2N3N/2RK4,g6f4 g6e5 
1RKR1N2/7N/N7/N4N1N/6NR/1Nk5/R4N2/4NN2,f2d1 f2e4 
N3N2R/1k4N1/1N3NNR/7N/3N2N1/2N2N1N/1N2N3/RKRN4,e8d6 
1N1K4/1N1N2N1/R2N4/2Nk2N1/7R/1N3N2/1N6/N1R1R3,d7b6 d7f6 
2RKRNN1/3N4/8/1N6/5N2/NN3N2/7R/3k2N1,b5c3 
R5N1/2kN1N1N/R5N1/4NN2/1N6/3N3N/5N2/1RKR1N2,b4d5 b4a6 
N2N2RN/5N2/NN3N1N/8/R6N/N6k/R1N5/2N2N1K,f7g5 
1N1R1RN1/R7/4k3/N3N2R/2N3N1/N1N1N3/N1NN4/N2NK3,c2d4 
7R/1kN1N1N1/1N5R/3N4/1N1N1NN1/1N5N/2N2N2/RKR5,b3a5 b3c5 
1NN2NKN/5N2/N5N1/3NN3/R1N5/N4Nk1/R2N2N1/N4R1R,d2f1 d2e4 
2N1R1R1/1N5R/2N1Nk2/7R/5N2/N7/2N5/2N2KN1,f4d5 f4h5 
7R/4k3/7R/2N4N/8/N1N5/1N4N1/N2RKRN1,c3d5 
2RKRN1N/N7/6N1/3N3N/8/R7/N2k2N1/R5N1,g1f3 
3RKR2/R3N3/4k3/7R/8/7N/5N2/8,h3f4 h3g5 
2NKN1NN/3N4/6N1/7R/N1NkN3/N6R/6N1/2R1R2N,a3c2 a3b5 
8/2N5/7R/3Nk3/R7/1N4NN/N1N5/NNNRKR2,c1d3 
2RKRN2/R6N/1NNk4/3N3R/6N1/3N1N2/8/2N4N,b6c4 b6c8 
1RKR4/8/N7/3N4/1N6/4N3/R7/2k5,b4a2 b4d3 
3N3R/8/1N6/R2N4/5Nk1/RN6/3NN3/5RK1,d5e3 d5f6 
2RKR3/8/8/7N/1N3N2/7R/3kN3/N6R,a1b3 
4NK2/NNNN4/3N4/1N5R/4Nk2/R4N2/2N4N/4R1RN,c7d5 c7e6 
NNRK1N2/N3N3/1N6/NN4N1/R2N4/3k2NN/R7/NN2R3,h3f2 h3f4 
2KRN1NN/N7/R1N5/2kN4/R7/4N1NN/2N4N/1R5N,g3e4 
NN1NKR1N/N1N5/6N1/R7/4k3/RN2N3/8/3R2N1,b3d2 b3c5 
1NNNR1R1/N1N1N3/1N6/3N1N1N/7R/N4k2/R7/2NN1K1N,f5d4 f5h4 
3R4/8/1N4N1/R7/4k3/RN6/2N5/N3KR2,b3d2 b3c5 
RKR5/4NN2/1N4N1/1N4NN/8/5N1R/1kN1N1NN/N6R,b6a4 b6c4 
R7/N3N2k/R1NN4/5N2/N2NN3/2N3N1/3NN3/N2N2RK,e4g5 e4f6 
7k/R7/N3NN2/5N2/7N/1N5N/3N4/6RK,h4g6 
2NK3N/3N1N2/NN6/R7/2NkN3/3N3R/NN4N1/N1R1RN2,a1c2 a1b3 
6KR/RNNN4/1N3NkN/R7/1N2N3/N7/N2N3N/1N3RNN,d7e5 d7f8 
1N1N3N/5N2/RNN3N1/4N2k/R7/5N2/1NN5/2N3RK,g6f4 
7R/N4k2/1N5R/7N/2N5/2N3N1/8/3NRKR1,c4e5 c4d6 
2k3N1/R7/8/8/8/N3N3/5N2/1RKR4,g8e7 
1RKRN1N1/4NN1N/7R/2kN1N2/7R/8/1NN5/3N1N1N,b2d3 b2a4 
4NR2/RN1N2N1/N2N2k1/RN4N1/1N2N3/N5N1/N2N4/5NKR,d7e5 d7f8 
3R4/2N1N3/R7/1N2k3/7R/8/8/4KR2,e7c6 e7g6 
5N1K/N1N3N1/5N1N/1N6/R7/4NN1k/R7/1NN3R1,f3g1 f3g5 
3R4/N7/6N1/8/5N1R/3Nk2N/N3N2R/4KR2,f4g2 f4d5 
1NR1NN1N/N4N2/7R/3k4/R2N3N/N7/8/3KR3,e8f6 e8c7 
2K1N1N1/3N4/N3N3/8/R5NN/2k5/R5N1/NR1RN1N1,g1e2 
2K5/5N2/R1N3NN/1Nk1N3/7R/5N2/8/1R1R4,e5d3 e5d7 
3k2N1/7R/1N3N2/8/N1N2NN1/N7/6N1/2RKR3,f4e6 
1N3RK1/N1N3N1/1N6/R7/1N1N2k1/R6N/8/6NR,h3f2 
NN1K1NN1/N3N1N1/3NN2N/1N6/R7/2Nk2N1/R6N/2R1R3,e6f4 e6c5 
6RK/1N3N2/1N6/8/1N2N3/5N2/R7/7k,e4f2 e4g3 
3NRKR1/8/2N1N3/8/3N4/1NN4R/2N2k2/1N5R,c3d1 c3e4 
N1N1N3/2N5/5N2/N4NNN/7R/3k4/7R/1NRKR3,h5f4 
N6K/R6N/1N5k/RNN5/5N2/7N/2N1N2N/1N3NR1,h2g4 
K7/2N3N1/2N5/8/7R/k7/7R/1R3NN1,c7b5 
4KR2/8/R4N2/1N2kN2/R7/8/8/3R4,f6g4 f6d7 
2N1RN2/1N4N1/8/3N4/2N4R/N3Nk2/7R/5KR1,c4d2 c4e5 
N5R1/1N6/8/R7/5k2/R3N3/2N4N/N3RK2,e3g2 e3d5 
2KR3N/2N1N1NN/5N2/R1N4N/1NkN4/1N5R/N4N2/NR4N1,b3d2 b3a5 
2k5/R5N1/4N3/7N/4N2N/8/3N1NN1/1RKR3N,e4d6 
K1N3N1/4NNN1/N2N1N2/2N5/7R/kN3N2/N6R/1R6,d6c4 d6b5 
4N2R/2N2k2/1N5R/N1NN4/3N1N2/1N6/NN2N3/2N1RKRN,e8d6 
1R6/7R/k7/7R/8/8/2N3NN/K7,c2b4 
4N1R1/3N3N/N7/5N1R/N1N1Nk2/R7/N1NN4/1NN1RK2,c1e2 c1d3 
1RNR3N/8/4NN2/8/R5NN/2k5/R5N1/2K1N3,f6e4 f6d5 
4RK1N/1N5R/5k2/N3N2R/N1N5/8/N7/2NN2R1,e5g4 e5d7 
1N5R/2k4N/R1N5/N6N/N3N1N1/1N3N1N/1N5N/1RKR1N1N,b8a6 
N2KR3/3N4/8/R7/3k4/2N4R/8/2R4N,c3e2 c3b5 
1RKR1N2/8/N1N4N/7N/R1N2N1N/2k2N1N/R1N5/N7,f4e2 f4d5 
K5N1/8/7R/k2N1N2/N6R/2N4N/2N5/1RN1N3,c1b3 
1R6/6N1/7R/k1N4N/7R/8/8/K7,c5b3 c5b7 
1NNN3K/5N2/R7/3N3k/R7/4N3/1N3N1N/6R1,d5f4 d5f6 
2N1K1NN/1NN5/R7/1N1Nk2N/R3N3/2N5/2N3N1/1N1R1R1N,h8g6 h8f7 
NN2KR2/3N1NN1/N7/1NN4N/R7/4k3/7R/2NR2NN,g7f5 
NN1R2N1/8/2N4N/8/R1N2N1N/2k5/R5N1/1RK5,f4e2 f4d5 
NN2R3/N7/7N/R3N3/2N1Nk2/1N3N1R/2N5/5KR1,e5d3 e5g6 
R3NN2/8/8/3N4/7R/1k6/4NN1R/1KR5,e2c1 e2d4 
4N3/7N/8/7N/7R/Nk6/7R/RKRNNN2,f1d2 
R7/2N2k2/7R/5N2/5N2/8/N1N5/N1N1RKRN,f5d6 f5h6 
3NN2N/NN2N1N1/1NN5/5N2/R6N/7k/R7/N1NN2RK,d1f2 
3RKN2/4N3/N7/8/N6R/1N2k3/R7/5R2,e7d5 e7f5 
2N1RKR1/N1NN3N/8/8/2N5/2N4N/R7/5k2,c4d2 c4e3 
4NR2/R1N3N1/6k1/R5N1/1N6/3N4/1N3N2/6KR,d3f4 d3e5 
NRKR1N2/N5N1/6N1/5N2/4N2N/4N1NN/7R/2k2N1N,g3e2 
1NR1N2N/2N4N/1N1N1N1N/1N3N2/R2N4/N2k3N/R7/1N1KR3,h3f2 h3f4 
5R1R/8/8/R7/NN4k1/R7/4N3/5NK1,f1h2 f1e3 
4N2R/1N1Nk3/3N3R/2N5/4N3/8/NN2N1N1/NN1RKR2,d6f5 d6c8 
5RN1/R7/1N2k3/N4N1R/1NN3N1/2N5/N4N2/NN1RKNN1,f5d4 f5g7 
N1RK1N1N/N1N1NN1N/3N4/1N3N2/R6N/2Nk4/R7/4R3,f7e5 
2R1R3/8/6N1/R2N4/3k4/R7/8/3K2N1,g1e2 g1f3 
1NRKR3/NN4N1/3N3R/N2kN3/R2N4/N7/N6N/2N1N2N,a2c3 a2b4 
3K4/N5N1/R7/N1Nk2N1/R7/5N2/2N5/2R1R1NN,c2e3 c2b4 
1N2KRN1/1N6/N1N1N3/6N1/R7/3NkN1N/R4N2/1NNR3N,f2d1 f2g4 
1RK5/8/5N2/5N2/R1N5/2k5/7R/3R4,f6e4 f6d5 
3NR1R1/N1N4R/N4kN1/1N3N1R/3N4/N2N4/1NN1N1N1/4NK2,c7d5 c7e8 
NNN2KR1/1N2N3/N7/NNN5/NN5R/5k2/R7/3NR2N,b5d4 
1NN1KR2/1N6/2N5/4N3/7R/4kN1N/R7/3R4,e5c4 e5g4 
1K4N1/N5NR/Nk6/1N4NR/3NN1N1/3N2N1/5N2/R1RN1N1N,a7c8 
1R1R4/N3N2N/RN6/2kN3N/R5N1/N7/N5NN/1NKN2N1,b6a4 b6d7 
3R2N1/2N1N1N1/4N3/R4N2/2k2N2/7R/4NN2/NRK4N,f5e3 f5d6 
4RKR1/N5NN/NN4N1/N7/2NN3N/7R/5k2/1N2NN1R,e1d3 
5K2/1NN5/8/R7/4Nk2/5N1R/2N4N/3NR1R1,c7d5 c7e6 
3RKRN1/4N2R/3NkN2/R3N3/8/5NN1/N7/8,f3d4 f3g5 
4R1N1/2N5/2N2N2/2N4N/1N3N1R/5k2/RN6/N4KR1,c6d4 c6e5 
5KR1/R7/5k1N/7R/3N3N/8/6N1/4R3,h6g4 h6g8 
5KR1/7R/1N2NkN1/7R/8/7N/8/3NR2N,b6d5 b6d7 
3K1NNN/8/3N4/5NN1/7R/N2k1N2/R2N3N/2R1R1N1,f3e1 f3e5 
4KRN1/2N3NN/7R/1N1Nk2N/R7/7N/5N2/1N1R1N2,f2d3 f2g4 
1N2K3/2N1NN2/8/7R/3Nk3/7R/7N/3R1R2,f7g5 f7d6 
R1R5/8/1N5R/Nk2N3/7R/3NNN1N/8/1KN5,f3d4 
1N3RN1/7N/8/8/R7/4k3/R6N/3RK3,h2f1 h2g4 
RNRN4/2N3N1/1N6/3N4/1N2N2R/1k6/1N5R/1K1N4,e4d2 e4c5 
N1NRK1NN/1N6/R7/4k3/N3N2R/7N/4N1N1/3N1R1N,h8g6 h8f7 
2RN4/8/3N3R/N2k2NN/7R/NN6/1N1N1N1N/N1NKR2N,h5f4 h5f6 
N1NRNR2/N7/2N2NN1/8/R7/1N1Nk3/4N2R/2N1K1NN,f6g4 f6d5 
N1N1N1RK/8/N7/NN2N3/NNN1NN2/R7/1N2N1Nk/R7,e5f3 e5g4 
6RK/N5N1/7N/2N5/5N2/R7/7k/R7,h6g4 
4RN2/3N3N/7R/4Nk2/1N5R/2N5/NN1N1NN1/1N3KR1,g2e3 g2h4 
1N1NR1NN/6N1/1N6/1N4N1/7R/N2kN3/R3N2N/1NRK2N1,e2c1 e2f4 
1NNRKR2/1N6/7N/N6N/6N1/7R/4k3/R7,h5g3 h5f4 
1N1R4/N3N3/4N1NN/N6R/3NkN2/4N2R/1NN5/4KRN1,e6c5 e6g5 
N4KR1/N1N4N/RN6/2N1NkN1/R7/3N4/3N3N/N3RN2,f1e3 f1g3 
NN3K1N/N6N/R7/2N1Nk2/1N2N2R/2N5/N4N1N/1NN1R1R1,e4g3 e4d6 
3N2RK/8/R7/4NN1k/R1NN4/4NN2/2N5/N1N3N1,f5g3 f5g7 
1R1N1N1N/4NN2/N1N2N2/5N1R/k7/N3N1NR/2NN4/K5N1,a6c5 
KR6/6NR/k3NN1N/N6R/3N2N1/N1N3N1/4N3/4N2N,e6c5 e6c7 
4RKN1/1NN5/6N1/7N/NN5R/5kN1/RN6/2NN2RN,g6h4 g6e5 
NN1NRNR1/8/R7/N2N1k2/7R/N7/5N2/1N3K2,d5e3 d5e7 
5NRN/8/R4N2/4NkN1/5N1R/2N5/2N5/2N1RK2,c2e3 c2d4 
6KR/R7/N1N3k1/R7/8/4N3/7N/5R2,c6e5 c6e7 
k6N/7R/2NNN3/5N2/1N6/8/8/KR1NNN2,e6c7 
2RKR2N/N1N5/8/8/1N6/R7/3kN3/R2NN2N,e1f3 
2N2K2/2N5/2N2N2/2N5/R7/N3Nk2/7R/N3R1R1,c6d4 c6e5 
5KR1/8/7R/5k1N/5N1R/N7/1N1N1N2/4R3,h5g3 h5g7 
K5NN/4NN1R/k3N2N/7R/3N4/8/5NN1/NR1N4,e6c5 e6c7 
2k2N1N/7R/N1N5/N1N4N/7N/8/7N/1RKR4,c6a7 c6e7 
N7/1N5N/2N1NN2/7N/7R/2k2N2/R7/1RKR3N,f6e4 f6d5 
3RKR2/5N1R/1N2k3/R7/8/8/5N2/8,f7g5 f7d8 
2NN3R/8/3N4/1N6/R7/N4Nk1/R1N5/1N3RK1,d6e4 d6f5 
N2N1K1N/8/7R/N1N1NkN1/RN4N1/3N4/5N2/NN2R1R1,g4e3 g4h6 
2N1N2R/N2N4/8/2N1N3/RN6/N2N2k1/R5N1/1N2NRK1,c5e4 
3R4/N4N1R/4k2N/7R/1N4NN/2N1N3/NN3N1N/2N1KR1N,f7g5 f7d8 
2R5/6N1/7R/3k4/2NN3R/N7/8/3KR3,c4e3 c4b6 
3KRN2/4N2N/4N2N/8/7R/N2k2N1/R7/1NR2N2,e6f4 e6c5 
2RKR3/3N3R/2Nk4/2N4R/N4NN1/5N2/N3N3/8,c5e4 c5b7 
NN2NN2/N3NN2/R7/1N4Nk/R7/1N2N3/5N2/6RK,e8f6 e8g7 
3NNN2/2N1N1N1/1N1N1N1N/8/1N5R/N4k2/N3NN1R/4RKR1,e2g1 e2d4 
R3N2N/2N3N1/6N1/3NN2N/N6R/Nk2N2N/5NNR/1KRN4,a4c5 
3RKR2/N3N1N1/1N2N1NN/R3N3/4k3/R7/1N4N1/8,e6c5 e6g5 
5RK1/3N4/4N1N1/4N3/R4N2/6k1/RN6/1N1NN2R,f4e2 f4h5 
1RKR1N1N/N3N3/2N4N/5N2/2N4N/N3N3/R1N2N2/1Nk5,f2d3 
2RKR2N/7N/5N2/4N2R/N2k4/R7/8/1N3N2,e5f3 e5c6 
2N2RKR/1NN5/NN6/6N1/2N3N1/4N3/RN4N1/NN1N2kN,g5f3 g5h3 
3RKR2/7N/N7/8/8/R7/N3k3/7R,a2c1 a2c3 
2RNN3/8/3N2N1/N7/7R/N2k2N1/7R/1N1KR3,g6f4 g6e5 
RK6/5NNR/1k2N1N1/4N2R/6NN/1N6/N3N1N1/N1R1NNN1,e5c4 e5d7 
4NK1N/6N1/NN1N4/2NN3N/R1N5/5kN1/RN6/3NR1R1,c4d2 c4e5 
7R/4k3/7R/2N4N/1NN5/8/7N/3RKRN1,b4d5 b4c6 
2R1R3/8/N7/R7/3kN3/R1N5/5N2/1N1K4,c3e2 c3b5 
N4KR1/R7/4Nk1N/N6R/8/8/8/2N1RNN1,h6g4 h6g8 
6R1/R7/7k/R7/8/1N1N4/1N5N/N1NNNN1K,h2g4 
N3R3/1N3N1N/6N1/6NR/N2kN1N1/R6N/NN3N2/2RK1N2,g5f3 g5e6 
4RKN1/2NN1N2/N1N5/NN5R/2N2k2/R7/2N4N/N4NR1,c7d5 c7e6 
R4N2/4Nk2/RN6/N2N3N/8/NN1NN3/8/NNN1RKR1,d3e5 
N2R1RN1/3N1NN1/2N5/1NN3NN/7R/1N2k3/N3N2R/4K1N1,g7f5 
N1RKR1N1/5N2/N7/7N/1N5N/7N/R7/3k4,h3f2 
R7/3Nk3/R3N3/8/7N/8/8/3RKR2,h4f5 h4g6 
1R1N4/2NN2N1/6NR/k4N2/N6R/3N4/2N2NN1/KN3NNN,d8c6 d8b7 
3NKR2/N1N3N1/1N2N3/4N2R/4kN1N/R7/8/N1NR2N1,e6c5 e6g5 
2K1N3/8/R1N3NN/2k5/7R/4N1N1/N5N1/1R1R4,g3e4 
3NNNKN/6N1/NN1N4/R7/N5kN/R7/NN6/5RNR,e8f6 
R7/4k3/4N2R/N1N5/2N5/8/1N2N3/N2RKR1N,a5c6 
1NK4N/3N4/N1N1N3/4NN1N/7R/2k2N1N/RNN3NN/1R1R4,b2d1 b2a4 
4R1R1/7R/5k2/7R/8/N2N4/1N1N4/2N2K2,d2e4 
1NRK4/N4NN1/4N2R/3kN3/R7/8/3N1N2/N3R3,e6f4 e6c7 
7R/2k5/R7/4NN2/8/4N3/7N/1RKR1N2,e3d5 
3KRN1N/N4N2/7R/3k1N2/3N3R/NN6/8/2R5,f5e3 f5e7 
2NRKR2/1N4NN/N6R/1N2k2N/7R/7N/NN6/N2N3N,b2d3 b2c4 
N3R2N/7R/2N2kN1/N3N2R/7N/8/1N2N3/3N1KRN,e5g4 e5d7 
1N1R1NN1/2N5/5N2/R7/1Nk5/R1N5/6N1/1RK5,g2e3 
1NRK2N1/7R/N2kN3/3N3R/NN6/1N1N3N/NN6/1N2RN1N,b2c4 
N1N1KR2/2N5/6NN/R7/4k3/R7/8/2NRN3,c8d6 
2RK4/7N/1N6/7R/3k4/R2N4/N7/1N2R1N1,g1e2 g1f3 
4k3/R7/2N3NN/8/1N3NN1/8/2N5/3RKR1N,g4f6 
kN5N/5N1R/N1N5/2N4N/5N2/1N2N3/8/KR1N3N,a6c7 
2R1N2N/7N/1N6/R6N/NN1k4/R7/6N1/3KR3,b4c2 b4c6 
2N2KR1/8/8/2N5/7R/N4k2/R1N5/4R3,c2e1 c2d4 
3N1R1R/R7/1N4k1/RNN5/2NNN3/8/8/NNNN2K1,c4e5 
2R1R3/N4N2/R3N2N/N2kN3/7R/1N6/8/3K4,e6f4 e6c7 
R7/N3N2k/R1NN4/5N2/8/5NN1/N7/1NNN2RK,f3g5 
3N2R1/N1N5/1N5R/2N2k2/7R/3N4/1N2N3/1N2RK2,e2g3 e2d4 
KRN5/3N1N1R/k5N1/7R/8/N7/3N4/3N4,d7c5 d7b8 
3N2N1/2N2N2/1N5N/8/R7/5k2/7R/4RKR1,f7e5 f7g5 
4R3/NN6/R7/3k1N2/R2N3N/5NN1/8/2RK4,f5e3 f5e7 
3K4/5N1N/1N3N2/8/R2N4/3k2N1/7R/1NR1R3,f7e5 
